family,processor,vCPU,ram(GB),price($/h),daily_price,weekly_price,monthly_price
X9,Intel Xeon Platinum 8358,96,192.0,2.208,52.99,370.94,1611.84
X9,Intel Xeon Platinum 8358,96,384.0,2.496,59.9,419.33,1822.08
X9,Intel Xeon Platinum 8358,96,768.0,3.072,73.73,516.1,2242.56
X12 Ax,Intel Xeon 6987P-C,2,4.0,0.0575,1.38,9.66,41.98
X12 Ax,Intel Xeon 6987P-C,2,8.0,0.1031,2.47,17.32,75.26
X12 Ax,Intel Xeon 6987P-C,2,16.0,0.1943,4.66,32.64,141.84
X12 Ax,Intel Xeon 6987P-C,2,32.0,0.3767,9.04,63.29,274.99
X12 Ax,Intel Xeon 6987P-C,4,8.0,0.115,2.76,19.32,83.95
X12 Ax,Intel Xeon 6987P-C,4,16.0,0.2062,4.95,34.64,150.53
X12 Ax,Intel Xeon 6987P-C,4,32.0,0.3886,9.33,65.28,283.68
X12 Ax,Intel Xeon 6987P-C,4,64.0,0.7534,18.08,126.57,549.98
X12 Ax,Intel Xeon 6987P-C,8,16.0,0.23,5.52,38.64,167.9
X12 Ax,Intel Xeon 6987P-C,8,32.0,0.4124,9.9,69.28,301.05
X12 Ax,Intel Xeon 6987P-C,8,64.0,0.7772,18.65,130.57,567.36
X12 Ax,Intel Xeon 6987P-C,8,128.0,1.5068,36.16,253.14,1099.96
X12 Ax,Intel Xeon 6987P-C,16,32.0,0.46,11.04,77.28,335.8
X12 Ax,Intel Xeon 6987P-C,16,64.0,0.8248,19.8,138.57,602.1
X12 Ax,Intel Xeon 6987P-C,16,128.0,1.5544,37.31,261.14,1134.71
X12 Ax,Intel Xeon 6987P-C,16,256.0,3.0136,72.33,506.28,2199.93
X12 Ax,Intel Xeon 6987P-C,32,64.0,0.92,22.08,154.56,671.6
X12 Ax,Intel Xeon 6987P-C,32,128.0,1.6496,39.59,277.13,1204.21
X12 Ax,Intel Xeon 6987P-C,32,256.0,3.1088,74.61,522.28,2269.42
X12 Ax,Intel Xeon 6987P-C,48,96.0,1.38,33.12,231.84,1007.4
X12 Ax,Intel Xeon 6987P-C,48,192.0,2.4744,59.39,415.7,1806.31
X12 Ax,Intel Xeon 6987P-C,64,128.0,1.84,44.16,309.12,1343.2
X12 Ax,Intel Xeon 6987P-C,64,256.0,3.2992,79.18,554.27,2408.42
