provider,region,state,family,architecture,processor,vCPU,ram(GB),price($/h),N-price($/h),daily_price,N-daily_price,weekly_price,N-weekly_price,monthly_price,N-monthly_price
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,2,4,0.031,0.03815,0.74,0.9108,5.21,6.412,22.63,27.85
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,2,8,0.037,0.04554,0.89,1.0954,6.22,7.655,27.01,33.24
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,2,16,0.049,0.06031,1.18,1.4523,8.23,10.129,35.77,44.02
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,2,32,0.073,0.08985,1.75,2.1538,12.26,15.089,53.29,65.59
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,4,8,0.062,0.07631,1.49,1.8338,10.42,12.825,45.26,55.7
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,4,16,0.074,0.09108,1.78,2.1908,12.43,15.298,54.02,66.49
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,4,32,0.098,0.12062,2.35,2.8923,16.46,20.258,71.54,88.05
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,4,64,0.146,0.17969,3.5,4.3077,24.53,30.191,106.58,131.18
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,8,16,0.124,0.15262,2.98,3.6677,20.83,25.637,90.52,111.41
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,8,32,0.148,0.18215,3.55,4.3692,24.86,30.597,108.04,132.97
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,8,64,0.196,0.24123,4.7,5.7846,32.93,40.529,143.08,176.1
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,8,128,0.292,0.35938,7.01,8.6277,49.06,60.382,213.16,262.35
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,16,32,0.248,0.30523,5.95,7.3231,41.66,51.274,181.04,222.82
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,16,64,0.296,0.36431,7.1,8.7385,49.73,61.206,216.08,265.94
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,16,128,0.392,0.48246,9.41,11.5815,65.86,81.058,286.16,352.2
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,16,256,0.584,0.71877,14.02,17.2554,98.11,120.751,426.32,524.7
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,32,64,0.496,0.61046,11.9,14.6462,83.33,102.56,362.08,445.64
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,32,128,0.592,0.72862,14.21,17.4892,99.46,122.412,432.16,531.89
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,32,256,0.784,0.96492,18.82,23.1631,131.71,162.105,572.32,704.39
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,32,512,1.168,1.43754,28.03,34.4985,196.22,241.502,852.64,1049.4
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,48,96,0.744,0.91569,17.86,21.9815,124.99,153.834,543.12,668.46
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,48,192,0.888,1.09292,21.31,26.2277,149.18,183.606,648.24,797.83
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,48,384,1.176,1.44738,28.22,34.7323,197.57,243.163,858.48,1056.59
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,48,768,1.752,2.15631,42.05,51.7538,294.34,362.265,1278.96,1574.1
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,64,128,0.992,1.22092,23.81,29.3046,166.66,205.12,724.16,891.27
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,64,256,1.184,1.45723,28.42,34.9785,198.91,244.812,864.32,1063.78
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,64,512,1.568,1.92985,37.63,46.3138,263.42,324.209,1144.64,1408.79
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,64,1024,2.336,2.87508,56.06,68.9969,392.45,483.015,1705.28,2098.81
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,96,192,1.488,1.83138,35.71,43.9508,249.98,307.668,1086.24,1336.91
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,96,384,1.776,2.18585,42.62,52.4554,298.37,367.225,1296.48,1595.67
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,96,768,2.352,2.89477,56.45,69.4769,395.14,486.326,1716.96,2113.18
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,96,1536,3.504,4.31262,84.1,103.5077,588.67,724.517,2557.92,3148.21
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,128,256,1.984,2.44185,47.62,58.6092,333.31,410.228,1448.32,1782.55
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,128,512,2.368,2.91446,56.83,69.9446,397.82,489.625,1728.64,2127.56
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,128,1024,3.136,3.85969,75.26,92.6277,526.85,648.431,2289.28,2817.58
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,192,384,2.976,3.66277,71.42,87.9015,499.97,615.348,2172.48,2673.82
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,192,768,3.552,4.37169,85.25,104.9231,596.74,734.449,2592.96,3191.34
oci,global,global,E4,x86(AMD),AMD EPYC 7J13,192,1536,4.704,5.78954,112.9,138.9538,790.27,972.64,3433.92,4226.36
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,2,4,0.038,0.03685,0.91,0.8824,6.38,6.187,27.74,26.9
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,2,8,0.046,0.04461,1.1,1.0667,7.73,7.496,33.58,32.56
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,2,16,0.062,0.06012,1.49,1.4448,10.42,10.104,45.26,43.89
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,2,32,0.094,0.09115,2.26,2.1915,15.79,15.312,68.62,66.54
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,4,8,0.076,0.0737,1.82,1.7648,12.77,12.383,55.48,53.8
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,4,16,0.092,0.08921,2.21,2.143,15.46,14.992,67.16,65.12
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,4,32,0.124,0.12024,2.98,2.8897,20.83,20.199,90.52,87.78
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,4,64,0.188,0.1823,4.51,4.3733,31.58,30.623,137.24,133.08
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,8,16,0.152,0.14739,3.65,3.5394,25.54,24.766,110.96,107.6
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,8,32,0.184,0.17842,4.42,4.2861,30.91,29.973,134.32,130.25
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,8,64,0.248,0.24048,5.95,5.7697,41.66,40.398,181.04,175.55
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,8,128,0.376,0.36461,9.02,8.7467,63.17,61.256,274.48,266.16
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,16,32,0.304,0.29479,7.3,7.0788,51.07,49.522,221.92,215.2
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,16,64,0.368,0.35685,8.83,8.5624,61.82,59.947,268.64,260.5
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,16,128,0.496,0.48097,11.9,11.5394,83.33,80.805,362.08,351.11
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,16,256,0.752,0.72921,18.05,17.503,126.34,122.512,548.96,532.32
